Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;11 Extremadura;;Residentes en España;2020;201.000
Total Nacional;11 Extremadura;;Residentes en España;2019;329.000
Total Nacional;11 Extremadura;;Residentes en España;2018;269.000
Total Nacional;11 Extremadura;10 Cáceres;Total ;2022;398.000
Total Nacional;11 Extremadura;10 Cáceres;Total ;2021;247.000
Total Nacional;11 Extremadura;10 Cáceres;Total ;2020;150.000
Total Nacional;11 Extremadura;10 Cáceres;Total ;2019;267.000
Total Nacional;11 Extremadura;10 Cáceres;Total ;2018;220.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en el Extranjero;2022;49.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en el Extranjero;2021;18.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en el Extranjero;2020;9.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en el Extranjero;2019;36.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en el Extranjero;2018;32.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en España;2022;349.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en España;2021;229.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en España;2020;141.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en España;2019;232.000
Total Nacional;11 Extremadura;10 Cáceres;Residentes en España;2018;188.000
Total Nacional;11 Extremadura;06 Badajoz;Total ;2022;173.000
Total Nacional;11 Extremadura;06 Badajoz;Total ;2021;95.000
Total Nacional;11 Extremadura;06 Badajoz;Total ;2020;68.000
Total Nacional;11 Extremadura;06 Badajoz;Total ;2019;123.000
Total Nacional;11 Extremadura;06 Badajoz;Total ;2018;100.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en el Extranjero;2022;30.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en el Extranjero;2021;11.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en el Extranjero;2020;8.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en el Extranjero;2019;25.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en el Extranjero;2018;20.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en España;2022;143.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en España;2021;84.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en España;2020;60.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en España;2019;98.000
Total Nacional;11 Extremadura;06 Badajoz;Residentes en España;2018;81.000
Total Nacional;10 Comunitat Valenciana;;Total ;2022;17.216.000
Total Nacional;10 Comunitat Valenciana;;Total ;2021;10.618.000
Total Nacional;10 Comunitat Valenciana;;Total ;2020;6.673.000
